LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (10 10 10)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  reading velocities ...
  2048 velocities
  read_data CPU = 0.0163119 secs
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.42246
  ghost atom cutoff = 1.42246
  binsize = 0.71123, bins = 15 15 15
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.0001
Per MPI rank memory allocation (min/avg/max) = 3.197 | 3.197 | 3.197 Mbytes
Time Temp Press 
        0.14    1.0315679    660.64432 
       0.141     1.035454    660.65227 
       0.142    1.0386099    660.65873 
       0.143    1.0409704    660.66356 
       0.144    1.0424846    660.66666 
       0.145    1.0431177    660.66796 
       0.146    1.0428536    660.66742 
       0.147    1.0416961    660.66505 
       0.148    1.0396712    660.66091 
       0.149    1.0368271    660.65508 
        0.15    1.0332337    660.64773 
       0.151    1.0289808    660.63902 
       0.152    1.0241744    660.62918 
       0.153    1.0189325    660.61845 
       0.154    1.0133801    660.60709 
       0.155    1.0076443    660.59535 
       0.156    1.0018497    660.58348 
       0.157   0.99611522    660.57175 
       0.158   0.99055144    660.56036 
       0.159   0.98525932    660.54952 
        0.16   0.98032959    660.53943 
       0.161   0.97584271    660.53025 
       0.162   0.97186921    660.52211 
       0.163   0.96847011    660.51516 
       0.164   0.96569722    660.50948 
       0.165    0.9635932    660.50517 
       0.166   0.96219142     660.5023 
       0.167   0.96151532    660.50092 
       0.168   0.96157759    660.50105 
       0.169   0.96237909    660.50269 
        0.17   0.96390771    660.50582 
       0.171   0.96613737    660.51038 
       0.172   0.96902741     660.5163 
       0.173   0.97252256    660.52345 
       0.174   0.97655363     660.5317 
       0.175   0.98103902    660.54089 
       0.176    0.9858868    660.55081 
       0.177   0.99099738    660.56127 
       0.178   0.99626626    660.57206 
       0.179    1.0015868    660.58295 
        0.18    1.0068527    660.59373 
       0.181      1.01196    660.60418 
       0.182    1.0168089    660.61411 
       0.183    1.0213054    660.62331 
       0.184    1.0253618    660.63161 
       0.185    1.0288986    660.63885 
       0.186    1.0318451    660.64489 
       0.187    1.0341409    660.64958 
       0.188    1.0357372    660.65285 
       0.189    1.0365985    660.65462 
        0.19     1.036704    660.65483 
       0.191    1.0360491    660.65349 
       0.192    1.0346471    660.65062 
       0.193    1.0325292    660.64629 
       0.194    1.0297449    660.64059 
       0.195    1.0263607    660.63366 
       0.196    1.0224581    660.62567 
       0.197    1.0181304    660.61681 
       0.198    1.0134794    660.60729 
       0.199    1.0086112    660.59733 
         0.2    1.0036329    660.58713 
       0.201   0.99864875    660.57693 
       0.202   0.99375832    660.56692 
       0.203   0.98905422    660.55729 
       0.204   0.98462123    660.54822 
       0.205   0.98053576    660.53985 
       0.206   0.97686572    660.53234 
       0.207   0.97367059     660.5258 
       0.208   0.97100152    660.52034 
       0.209   0.96890135    660.51604 
        0.21   0.96740446    660.51298 
       0.211   0.96653634     660.5112 
       0.212   0.96631298    660.51074 
       0.213   0.96674007    660.51162 
       0.214   0.96781209    660.51381 
       0.215   0.96951148    660.51729 
       0.216    0.9718081    660.52199 
       0.217   0.97465896    660.52783 
       0.218   0.97800868    660.53468 
       0.219   0.98179038    660.54242 
        0.22   0.98592733    660.55089 
       0.221   0.99033496    660.55991 
       0.222   0.99492317    660.56931 
       0.223   0.99959874    660.57888 
       0.224    1.0042676    660.58843 
       0.225    1.0088368    660.59779 
       0.226    1.0132163    660.60675 
       0.227    1.0173204    660.61515 
       0.228    1.0210689    660.62283 
       0.229    1.0243881    660.62962 
        0.23    1.0272119     660.6354 
       0.231    1.0294831    660.64005 
       0.232    1.0311539    660.64347 
       0.233    1.0321881    660.64559 
       0.234    1.0325615    660.64635 
       0.235    1.0322638    660.64574 
       0.236    1.0312996    660.64377 
       0.237    1.0296891    660.64047 
       0.238    1.0274682    660.63593 
       0.239    1.0246883    660.63024 
        0.24    1.0214145    660.62353 
       0.241    1.0177238    660.61598 
       0.242    1.0137022    660.60775 
       0.243    1.0094414    660.59902 
       0.244    1.0050358    660.59001 
       0.245    1.0005794    660.58088 
       0.246   0.99616298    660.57184 
       0.247   0.99187272    660.56306 
       0.248   0.98778848     660.5547 
       0.249   0.98398312    660.54691 
        0.25   0.98052213    660.53983 
       0.251    0.9774635    660.53357 
       0.252   0.97485768    660.52823 
       0.253   0.97274754    660.52391 
       0.254   0.97116828    660.52068 
       0.255   0.97014707    660.51859 
       0.256   0.96970259    660.51768 
       0.257   0.96984435    660.51797 
       0.258   0.97057194    660.51946 
       0.259   0.97187428    660.52212 
        0.26     0.973729    660.52592 
       0.261   0.97610216    660.53078 
       0.262   0.97894836    660.53661 
       0.263   0.98221142    660.54329 
