0.600 875.92037 875.92853
0.605 790.91295 790.92111
0.610 714.66083 714.66899
0.615 646.20569 646.21385
0.620 584.70042 584.70858
0.625 529.39552 529.40368
0.630 479.62719 479.63534
0.635 434.80695 434.81511
0.640 394.41264 394.4208
0.645 357.98052 357.98868
0.650 325.09832 325.10648
0.655 295.39926 295.40742
0.660 268.55668 268.56484
0.665 244.27947 244.28763
0.670 222.30792 222.31608
0.675 202.41019 202.41835
0.680 184.37911 184.38726
0.685 168.02943 168.03758
0.690 153.19536 153.20352
0.695 139.72842 139.73658
0.700 127.49551 127.50367
0.705 116.37726 116.38542
0.710 106.26649 106.27465
0.715 97.066941 97.075099
0.720 88.69206 88.700218
0.725 81.063994 81.072152
0.730 74.112653 74.120812
0.735 67.774899 67.783058
0.740 61.993814 62.001972
0.745 56.718053 56.726211
0.750 51.901272 51.909431
0.755 47.501611 47.509769
0.760 43.481236 43.489394
0.765 39.805931 39.81409
0.770 36.444735 36.452894
0.775 33.369612 33.377771
0.780 30.555163 30.563321
0.785 27.97836 27.986518
0.790 25.618317 25.626476
0.795 23.456081 23.464239
0.800 21.474436 21.482594
0.805 19.657744 19.665903
0.810 17.991788 17.999946
0.815 16.463636 16.471795
0.820 15.061521 15.06968
0.825 13.774729 13.782888
0.830 12.593499 12.601658
0.835 11.508937 11.517095
0.840 10.51293 10.521089
0.845 9.5980798 9.6062382
0.850 8.757632 8.7657905
0.855 7.9854198 7.9935783
0.860 7.2758093 7.2839678
0.865 6.6236514 6.6318099
0.870 6.024238 6.0323964
0.875 5.4732622 5.4814207
0.880 4.966783 4.9749414
0.885 4.5011919 4.5093504
0.890 4.0731842 4.0813427
0.895 3.6797319 3.6878904
0.900 3.3180595 3.3262179
0.905 2.9856218 2.9937803
0.910 2.6800843 2.6882428
0.915 2.3993047 2.4074631
0.920 2.1413162 2.1494747
0.925 1.904313 1.9124715
0.930 1.6866361 1.6947946
0.935 1.486761 1.4949194
0.940 1.3032863 1.3114448
0.945 1.1349235 1.143082
0.950 0.98048733 0.98864577
0.955 0.83888721 0.84704566
0.960 0.70911947 0.71727792
0.965 0.59026007 0.59841851
0.970 0.48145805 0.4896165
0.975 0.38192958 0.39008803
0.980 0.29095243 0.29911088
0.985 0.20786098 0.21601943
0.990 0.13204163 0.14020007
0.995 0.062928575 0.07108702
1.000 0 0.0081584456
1.005 0 -0.049067031
1.010 0 -0.10103357
1.015 0 -0.1481511
1.020 0 -0.19079797
1.025 0 -0.22932352
1.030 0 -0.26405031
1.035 0 -0.29527625
1.040 0 -0.32327651
1.045 0 -0.3483053
1.050 0 -0.37059751
1.055 0 -0.39037018
1.060 0 -0.40782391
1.065 0 -0.42314408
1.070 0 -0.43650208
1.075 0 -0.44805633
1.080 0 -0.45795329
1.085 0 -0.46632837
1.090 0 -0.47330676
1.095 0 -0.47900422
1.100 0 -0.48352778
1.105 0 -0.4869764
1.110 0 -0.48944158
1.115 0 -0.49100791
1.120 0 -0.49175361
1.125 0 -0.49175097
1.130 0 -0.49106683
1.135 0 -0.48976296
1.140 0 -0.48789644
1.145 0 -0.48552003
1.150 0 -0.48268245
1.350 0 -0.26765303
1.550 0 -0.12566592
1.750 0 -0.059048178
1.950 0 -0.027556544
2.150 0 -0.011885345
2.350 0 -0.0036457549
2.550 0 0
2.750 0 0
2.950 0 0
3.150 0 0
